"","Tratamiento","Replica","DDS","Semillas.germinadas"
"1","1",1,1,0
"2","1",2,1,0
"3","1",3,1,0
"4","1",1,2,0
"5","1",2,2,0
"6","1",3,2,0
"7","1",1,3,0
"8","1",2,3,2
"9","1",3,3,0
"10","1",1,6,0
"11","1",2,6,2
"12","1",3,6,0
"13","1",1,7,8
"14","1",2,7,4
"15","1",3,7,2
"16","1",1,8,8
"17","1",2,8,5
"18","1",3,8,2
"19","1",1,9,8
"20","1",2,9,6
"21","1",3,9,4
"22","1",1,10,10
"23","1",2,10,8
"24","1",3,10,9
"25","2",1,1,0
"26","2",2,1,0
"27","2",3,1,0
"28","2",1,2,0
"29","2",2,2,2
"30","2",3,2,2
"31","2",1,3,2
"32","2",2,3,5
"33","2",3,3,4
"34","2",1,6,4
"35","2",2,6,9
"36","2",3,6,11
"37","2",1,7,5
"38","2",2,7,12
"39","2",3,7,13
"40","2",1,8,5
"41","2",2,8,12
"42","2",3,8,13
"43","2",1,9,5
"44","2",2,9,12
"45","2",3,9,14
"46","2",1,10,15
"47","2",2,10,13
"48","2",3,10,15
"49","3",1,1,0
"50","3",2,1,0
"51","3",3,1,0
"52","3",1,2,0
"53","3",2,2,0
"54","3",3,2,1
"55","3",1,3,1
"56","3",2,3,1
"57","3",3,3,3
"58","3",1,6,5
"59","3",2,6,7
"60","3",3,6,9
"61","3",1,7,7
"62","3",2,7,8
"63","3",3,7,10
"64","3",1,8,7
"65","3",2,8,8
"66","3",3,8,10
"67","3",1,9,7
"68","3",2,9,8
"69","3",3,9,10
"70","3",1,10,16
"71","3",2,10,9
"72","3",3,10,12
"73","4",1,1,0
"74","4",2,1,0
"75","4",3,1,0
"76","4",1,2,1
"77","4",2,2,0
"78","4",3,2,0
"79","4",1,3,5
"80","4",2,3,0
"81","4",3,3,2
"82","4",1,6,11
"83","4",2,6,4
"84","4",3,6,5
"85","4",1,7,11
"86","4",2,7,4
"87","4",3,7,5
"88","4",1,8,12
"89","4",2,8,4
"90","4",3,8,7
"91","4",1,9,12
"92","4",2,9,4
"93","4",3,9,7
"94","4",1,10,14
"95","4",2,10,9
"96","4",3,10,12
"97","5",1,1,0
"98","5",2,1,0
"99","5",3,1,0
"100","5",1,2,3
"101","5",2,2,0
"102","5",3,2,5
"103","5",1,3,4
"104","5",2,3,4
"105","5",3,3,6
"106","5",1,6,5
"107","5",2,6,8
"108","5",3,6,12
"109","5",1,7,6
"110","5",2,7,9
"111","5",3,7,12
"112","5",1,8,7
"113","5",2,8,10
"114","5",3,8,13
"115","5",1,9,8
"116","5",2,9,13
"117","5",3,9,13
"118","5",1,10,8
"119","5",2,10,13
"120","5",3,10,13
"121","6",1,1,0
"122","6",2,1,0
"123","6",3,1,0
"124","6",1,2,2
"125","6",2,2,1
"126","6",3,2,0
"127","6",1,3,8
"128","6",2,3,10
"129","6",3,3,5
"130","6",1,6,11
"131","6",2,6,9
"132","6",3,6,8
"133","6",1,7,11
"134","6",2,7,10
"135","6",3,7,10
"136","6",1,8,13
"137","6",2,8,10
"138","6",3,8,12
"139","6",1,9,13
"140","6",2,9,11
"141","6",3,9,13
"142","6",1,10,13
"143","6",2,10,11
"144","6",3,10,14
