Tratamiento,R?plica,Peso bolsa (g),Peso bolsa + plantas frescas (g),Peso bolsa + plantas secas (g),Peso seco raiz + bolsa (g)
0,1,3.55,16.58,6.05,4.86
0,2,3.53,11.73,5.13,4.13
0,3,3.53,12.44,5.61,4.24
0,4,3.5,13.76,5.88,4.67
0,5,3.52,11.95,5.62,4.11
0,6,3.5,36.01,10.75,6.21
0,7,3.53,26.53,8.11,5.33
0,8,3.54,33.51,9.17,5.39
0,9,3.46,33.47,10.61,5.23
0,10,3.51,46.83,12.23,6.17
2,1,3.5,23.79,7.31,4.64
2,2,3.55,11.28,5.12,4.17
2,3,3.59,20.19,7.21,4.94
2,4,3.49,41,10.74,6.03
2,5,3.55,29.97,9.64,5.88
2,6,3.53,22.56,7.58,4.82
2,7,3.57,23.57,5.5,4.99
2,8,3.5,30.37,9.29,5.11
2,9,3.51,23.46,7.52,4.88
2,10,4.32,12.93,5.97,5.05
4,1,3.62,7.1,4.47,3.98
4,2,3.55,11.67,4.93,4.1
4,3,3.54,4.67,3.71,3.59
4,4,0,0,0,0
4,5,3.55,5.28,3.91,3.71
4,6,3.55,4.41,3.67,3.59
4,7,0,0,0,0
4,8,0,0,0,0
4,9,3.51,3.79,3.52,3.52
4,10,3.55,4.61,3.64,3.63
6,1,4.28,18.1,7.29,5.12
6,2,4.3,14.08,6.05,4.75
6,3,3.51,4.85,3.73,3.64
6,4,4.34,9.84,5.38,4.64
6,5,3.51,21.66,7.12,4.53
6,6,3.45,3.98,3.55,3.53
6,7,0,0,0,0
6,8,3.49,3.7,3.51,3.51
6,9,3.53,8.76,4.54,3.54
6,10,3.49,13.48,5.44,4.01
8,1,0,0,0,0
8,2,0,0,0,0
8,3,0,0,0,0
8,4,3.54,4.71,3.81,3.65
8,5,0,0,0,0
8,6,0,0,0,0
8,7,0,0,0,0
8,8,3.55,5.09,3.74,3.65
8,9,0,0,0,0
8,10,3.55,5.64,3.87,3.65
