Tratamiento,R?plica,Planta,Longitud a?rea (cm),Longitud radical (cm)
0,1,1,35,6.5
0,1,2,40,7.5
0,1,3,29,3.5
0,1,4,26,3.5
0,1,5,30,6.5
0,1,6,28,7
0,1,7,0,0
0,1,8,0,0
0,1,9,0,0
0,1,10,0,0
0,2,1,40,5.2
0,2,2,42.5,5
0,2,3,7,1.5
0,2,4,15.5,2.5
0,2,5,29,3.5
0,2,6,18,2
0,2,7,43.5,8
0,2,8,0,0
0,2,9,0,0
0,2,10,0,0
0,3,1,34,6.5
0,3,2,38,7.3
0,3,3,27.5,3.5
0,3,4,35,4.5
0,3,5,0,0
0,3,6,0,0
0,3,7,0,0
0,3,8,0,0
0,3,9,0,0
0,3,10,0,0
0,4,1,27,6
0,4,2,23,2
0,4,3,30,5.5
0,4,4,26,3.5
0,4,5,37,7.5
0,4,6,31,4.5
0,4,7,45.5,8
0,4,8,0,0
0,4,9,0,0
0,4,10,0,0
0,5,1,31,4
0,5,2,33,3.5
0,5,3,42,6.5
0,5,4,25,3
0,5,5,0,0
0,5,6,0,0
0,5,7,0,0
0,5,8,0,0
0,5,9,0,0
0,5,10,0,0
0,6,1,32.5,11
0,6,2,29,10
0,6,3,28,9
0,6,4,30,9.5
0,6,5,28.5,10
0,6,6,25,7
0,6,7,27,9
0,6,8,28,9.5
0,6,9,29,10
0,6,10,0,0
0,7,1,32,10
0,7,2,33,10
0,7,3,26,7.5
0,7,4,25.5,5
0,7,5,29,8.5
0,7,6,32,9
0,7,7,0,0
0,7,8,0,0
0,7,9,0,0
0,7,10,0,0
0,8,1,27,8.5
0,8,2,37,8.3
0,8,3,31,12
0,8,4,34,10
0,8,5,22,3.5
0,8,6,39.5,8.5
0,8,7,24,4.5
0,8,8,30,9
0,8,9,28,9.5
0,8,10,0,0
0,9,1,30,9
0,9,2,31,9
0,9,3,35,9.2
0,9,4,34,11
0,9,5,25,8
0,9,6,30,8
0,9,7,28,9.5
0,9,8,0,0
0,9,9,0,0
0,9,10,0,0
0,10,1,35,13.5
0,10,2,26,9
0,10,3,34,13.5
0,10,4,35,10.5
0,10,5,34,10.5
0,10,6,34.5,9.5
0,10,7,27.5,7.5
0,10,8,34,8
0,10,9,0,0
0,10,10,0,0
2,1,1,37,8
2,1,2,35,6.5
2,1,3,34.5,7
2,1,4,35,10
2,1,5,36,8.5
2,1,6,34,10
2,1,7,33,9.5
2,1,8,37,9.5
2,1,9,0,0
2,1,10,0,0
2,2,1,34,7
2,2,2,32,5
2,2,3,23.5,5
2,2,4,24,6
2,2,5,33.5,5.5
2,2,6,25,4.5
2,2,7,26,5
2,2,8,29,5
2,2,9,22,4
2,2,10,0,0
2,3,1,39,11
2,3,2,35,7.5
2,3,3,29,6
2,3,4,30,8.5
2,3,5,37,9
2,3,6,0,0
2,3,7,0,0
2,3,8,0,0
2,3,9,0,0
2,3,10,0,0
2,4,1,27.5,8.5
2,4,2,32.5,10.5
2,4,3,42,12.5
2,4,4,34,12
2,4,5,33,11
2,4,6,0,0
2,4,7,0,0
2,4,8,0,0
2,4,9,0,0
2,4,10,0,0
2,5,1,32,9.5
2,5,2,24,5.5
2,5,3,20,5.5
2,5,4,34,10
2,5,5,28,8
2,5,6,41,10.5
2,5,7,34,8
2,5,8,31,12
2,5,9,30,8
2,5,10,0,0
2,6,1,38,9
2,6,2,42,9.5
2,6,3,30,6.5
2,6,4,20,4.5
2,6,5,30,10
2,6,6,38,9.5
2,6,7,30,10
2,6,8,0,0
2,6,9,0,0
2,6,10,0,0
