"","Profundidad","Réplica","Planta","Longitud radical (cm)","Longitud aérea (cm)"
"1",0,1,1,35,6.5
"2",0,1,2,40,7.5
"3",0,1,3,29,3.5
"4",0,1,4,26,3.5
"5",0,1,5,30,6.5
"6",0,1,6,28,7
"7",0,1,7,0,0
"8",0,1,8,0,0
"9",0,1,9,0,0
"10",0,1,10,0,0
"11",0,2,1,40,5.2
"12",0,2,2,42.5,5
"13",0,2,3,7,1.5
"14",0,2,4,15.5,2.5
"15",0,2,5,29,3.5
"16",0,2,6,18,2
"17",0,2,7,43.5,8
"18",0,2,8,0,0
"19",0,2,9,0,0
"20",0,2,10,0,0
"21",0,3,1,34,6.5
"22",0,3,2,38,7.3
"23",0,3,3,27.5,3.5
"24",0,3,4,35,4.5
"25",0,3,5,0,0
"26",0,3,6,0,0
"27",0,3,7,0,0
"28",0,3,8,0,0
"29",0,3,9,0,0
"30",0,3,10,0,0
"31",0,4,1,27,6
"32",0,4,2,23,2
"33",0,4,3,30,5.5
"34",0,4,4,26,3.5
"35",0,4,5,37,7.5
"36",0,4,6,31,4.5
"37",0,4,7,45.5,8
"38",0,4,8,0,0
"39",0,4,9,0,0
"40",0,4,10,0,0
"41",0,5,1,31,4
"42",0,5,2,33,3.5
"43",0,5,3,42,6.5
"44",0,5,4,25,3
"45",0,5,5,0,0
"46",0,5,6,0,0
"47",0,5,7,0,0
"48",0,5,8,0,0
"49",0,5,9,0,0
"50",0,5,10,0,0
"51",0,6,1,32.5,11
"52",0,6,2,29,10
"53",0,6,3,28,9
"54",0,6,4,30,9.5
"55",0,6,5,28.5,10
"56",0,6,6,25,7
"57",0,6,7,27,9
"58",0,6,8,28,9.5
"59",0,6,9,29,10
"60",0,6,10,0,0
"61",0,7,1,32,10
"62",0,7,2,33,10
"63",0,7,3,26,7.5
"64",0,7,4,25.5,5
"65",0,7,5,29,8.5
"66",0,7,6,32,9
"67",0,7,7,0,0
"68",0,7,8,0,0
"69",0,7,9,0,0
"70",0,7,10,0,0
"71",0,8,1,27,8.5
"72",0,8,2,37,8.3
"73",0,8,3,31,12
"74",0,8,4,34,10
"75",0,8,5,22,3.5
"76",0,8,6,39.5,8.5
"77",0,8,7,24,4.5
"78",0,8,8,30,9
"79",0,8,9,28,9.5
"80",0,8,10,0,0
"81",0,9,1,30,9
"82",0,9,2,31,9
"83",0,9,3,35,9.2
"84",0,9,4,34,11
"85",0,9,5,25,8
"86",0,9,6,30,8
"87",0,9,7,28,9.5
"88",0,9,8,0,0
"89",0,9,9,0,0
"90",0,9,10,0,0
"91",0,10,1,35,13.5
"92",0,10,2,26,9
"93",0,10,3,34,13.5
"94",0,10,4,35,10.5
