"","Profundidad","Réplica","Peso bolsa (g)","Peso bolsa + plantas frescas (g)","Peso bolsa + plantas secas (g)","Peso bolsa + raíz","Peso fresco (g)","Peso seco (g)","Peso seco raíz (g)","Peso seco aéreo (g)"
"1","0",1,3.55,16.58,6.05,4.86,13.03,2.5,1.31,11.72
"2","0",2,3.53,11.73,5.13,4.13,8.2,1.6,0.6,7.6
"3","0",3,3.53,12.44,5.61,4.24,8.91,2.08,0.71,8.2
"4","0",4,3.5,13.76,5.88,4.67,10.26,2.38,1.17,9.09
"5","0",5,3.52,11.95,5.62,4.11,8.43,2.1,0.59,7.84
"6","0",6,3.5,36.01,10.75,6.21,32.51,7.25,2.71,29.8
"7","0",7,3.53,26.53,8.11,5.33,23,4.58,1.8,21.2
"8","0",8,3.54,33.51,9.17,5.39,29.97,5.63,1.85,28.12
"9","0",9,3.46,33.47,10.61,5.23,30.01,7.15,1.77,28.24
"10","0",10,3.51,46.83,12.23,6.17,43.32,8.72,2.66,40.66
"11","2",1,3.5,23.79,7.31,4.64,20.29,3.81,1.14,19.15
"12","2",2,3.55,11.28,5.12,4.17,7.73,1.57,0.62,7.11
"13","2",3,3.59,20.19,7.21,4.94,16.6,3.62,1.35,15.25
"14","2",4,3.49,41,10.74,6.03,37.51,7.25,2.54,34.97
"15","2",5,3.55,29.97,9.64,5.88,26.42,6.09,2.33,24.09
"16","2",6,3.53,22.56,7.58,4.82,19.03,4.05,1.29,17.74
"17","2",7,3.57,23.57,5.5,4.99,20,1.93,1.42,18.58
"18","2",8,3.5,30.37,9.29,5.11,26.87,5.79,1.61,25.26
"19","2",9,3.51,23.46,7.52,4.88,19.95,4.01,1.37,18.58
"20","2",10,4.32,12.93,5.97,5.05,8.61,1.65,0.73,7.88
"21","4",1,3.62,7.1,4.47,3.98,3.48,0.85,0.36,3.12
"22","4",2,3.55,11.67,4.93,4.1,8.12,1.38,0.55,7.57
"23","4",3,3.54,4.67,3.71,3.59,1.13,0.17,0.0499999999999998,1.08
"24","4",4,0,0,0,0,0,0,0,0
"25","4",5,3.55,5.28,3.91,3.71,1.73,0.36,0.16,1.57
"26","4",6,3.55,4.41,3.67,3.59,0.86,0.12,0.04,0.82
"27","4",7,0,0,0,0,0,0,0,0
"28","4",8,0,0,0,0,0,0,0,0
"29","4",9,3.51,3.79,3.52,3.52,0.28,0.0100000000000002,0.0100000000000002,0.27
"30","4",10,3.55,4.61,3.64,3.63,1.06,0.0900000000000003,0.0800000000000001,0.98
"31","6",1,4.28,18.1,7.29,5.12,13.82,3.01,0.84,12.98
"32","6",2,4.3,14.08,6.05,4.75,9.78,1.75,0.45,9.33
"33","6",3,3.51,4.85,3.73,3.64,1.34,0.22,0.13,1.21
"34","6",4,4.34,9.84,5.38,4.64,5.5,1.04,0.3,5.2
"35","6",5,3.51,21.66,7.12,4.53,18.15,3.61,1.02,17.13
"36","6",6,3.45,3.98,3.55,3.53,0.53,0.0999999999999996,0.0799999999999996,0.45
"37","6",7,0,0,0,0,0,0,0,0
"38","6",8,3.49,3.7,3.51,3.51,0.21,0.0199999999999996,0.0199999999999996,0.19
"39","6",9,3.53,8.76,4.54,3.54,5.23,1.01,0.0100000000000002,5.22
"40","6",10,3.49,13.48,5.44,4.01,9.99,1.95,0.52,9.47
"41","8",1,0,0,0,0,0,0,0,0
"42","8",2,0,0,0,0,0,0,0,0
"43","8",3,0,0,0,0,0,0,0,0
"44","8",4,3.54,4.71,3.81,3.65,1.17,0.27,0.11,1.06
"45","8",5,0,0,0,0,0,0,0,0
"46","8",6,0,0,0,0,0,0,0,0
"47","8",7,0,0,0,0,0,0,0,0
"48","8",8,3.55,5.09,3.74,3.65,1.54,0.19,0.1,1.44
"49","8",9,0,0,0,0,0,0,0,0
"50","8",10,3.55,5.64,3.87,3.65,2.09,0.32,0.1,1.99
