Semana,Profundidad,Bloque,Plantas.emergidas,Experimento
0,2,1,0,1
0,2,2,0,1
0,2,3,0,1
0,2,4,0,1
0,5,1,0,1
0,5,2,0,1
0,5,3,0,1
0,5,4,0,1
0,10,1,0,1
0,10,2,0,1
0,10,3,0,1
0,10,4,0,1
0,20,1,0,1
0,20,2,0,1
0,20,3,0,1
0,20,4,0,1
0,30,1,0,1
0,30,2,0,1
0,30,3,0,1
0,30,4,0,1
1,2,1,0,1
1,2,2,0,1
1,2,3,0,1
1,2,4,0,1
1,5,1,0,1
1,5,2,0,1
1,5,3,0,1
1,5,4,0,1
1,10,1,0,1
1,10,2,0,1
1,10,3,0,1
1,10,4,0,1
1,20,1,0,1
1,20,2,0,1
1,20,3,0,1
1,20,4,0,1
1,30,1,0,1
1,30,2,0,1
1,30,3,0,1
1,30,4,0,1
2,2,1,8,1
2,2,2,6,1
2,2,3,5,1
2,2,4,4,1
2,5,1,1,1
2,5,2,1,1
2,5,3,4,1
2,5,4,1,1
2,10,1,0,1
2,10,2,0,1
2,10,3,0,1
2,10,4,0,1
2,20,1,0,1
2,20,2,0,1
2,20,3,0,1
2,20,4,0,1
2,30,1,0,1
2,30,2,0,1
2,30,3,0,1
2,30,4,0,1
3,2,1,12,1
3,2,2,7,1
3,2,3,5,1
3,2,4,4,1
3,5,1,1,1
3,5,2,1,1
3,5,3,5,1
3,5,4,1,1
3,10,1,0,1
3,10,2,0,1
3,10,3,0,1
3,10,4,0,1
3,20,1,0,1
3,20,2,0,1
3,20,3,0,1
3,20,4,0,1
3,30,1,0,1
3,30,2,0,1
3,30,3,0,1
3,30,4,0,1
4,2,1,12,1
4,2,2,10,1
4,2,3,7,1
4,2,4,5,1
4,5,1,1,1
4,5,2,3,1
4,5,3,5,1
4,5,4,1,1
4,10,1,0,1
4,10,2,0,1
4,10,3,0,1
4,10,4,3,1
4,20,1,0,1
4,20,2,0,1
4,20,3,0,1
4,20,4,0,1
4,30,1,0,1
4,30,2,0,1
4,30,3,0,1
4,30,4,0,1
5,2,1,14,1
5,2,2,10,1
5,2,3,6,1
5,2,4,5,1
5,5,1,1,1
5,5,2,3,1
5,5,3,5,1
5,5,4,1,1
5,10,1,0,1
5,10,2,0,1
5,10,3,0,1
5,10,4,3,1
5,20,1,0,1
5,20,2,0,1
5,20,3,0,1
5,20,4,0,1
5,30,1,0,1
5,30,2,0,1
5,30,3,0,1
5,30,4,0,1
6,2,1,14,1
6,2,2,12,1
6,2,3,8,1
6,2,4,5,1
6,5,1,1,1
6,5,2,3,1
6,5,3,5,1
6,5,4,1,1
6,10,1,0,1
6,10,2,0,1
6,10,3,0,1
6,10,4,3,1
6,20,1,0,1
6,20,2,0,1
6,20,3,0,1
6,20,4,0,1
6,30,1,0,1
6,30,2,0,1
6,30,3,0,1
6,30,4,0,1
0,2,1,0,2
0,2,2,0,2
0,2,3,0,2
0,2,4,0,2
0,5,1,0,2
0,5,2,0,2
0,5,3,0,2
0,5,4,0,2
0,10,1,0,2
0,10,2,0,2
0,10,3,0,2
0,10,4,0,2
0,20,1,0,2
0,20,2,0,2
0,20,3,0,2
0,20,4,0,2
0,30,1,0,2
0,30,2,0,2
0,30,3,0,2
0,30,4,0,2
1,2,1,0,2
1,2,2,4,2
1,2,3,6,2
1,2,4,1,2
1,5,1,0,2
1,5,2,0,2
1,5,3,0,2
1,5,4,0,2
1,10,1,0,2
1,10,2,0,2
1,10,3,0,2
1,10,4,0,2
1,20,1,0,2
1,20,2,0,2
1,20,3,0,2
1,20,4,0,2
1,30,1,0,2
1,30,2,0,2
1,30,3,0,2
1,30,4,0,2
2,2,1,5,2
2,2,2,8,2
2,2,3,11,2
2,2,4,5,2
2,5,1,1,2
2,5,2,0,2
2,5,3,5,2
2,5,4,0,2
2,10,1,0,2
2,10,2,0,2
2,10,3,0,2
2,10,4,0,2
2,20,1,0,2
2,20,2,0,2
2,20,3,0,2
2,20,4,0,2
2,30,1,0,2
2,30,2,0,2
2,30,3,0,2
2,30,4,0,2
3,2,1,5,2
3,2,2,9,2
3,2,3,11,2
3,2,4,5,2
3,5,1,2,2
3,5,2,2,2
3,5,3,6,2
3,5,4,3,2
3,10,1,0,2
3,10,2,0,2
3,10,3,0,2
3,10,4,0,2
3,20,1,0,2
3,20,2,0,2
3,20,3,0,2
3,20,4,0,2
3,30,1,0,2
3,30,2,0,2
3,30,3,0,2
3,30,4,0,2
4,2,1,5,2
4,2,2,9,2
4,2,3,12,2
4,2,4,5,2
4,5,1,2,2
4,5,2,2,2
4,5,3,6,2
4,5,4,3,2
4,10,1,0,2
4,10,2,0,2
4,10,3,0,2
4,10,4,0,2
4,20,1,0,2
4,20,2,0,2
4,20,3,0,2
4,20,4,0,2
4,30,1,0,2
4,30,2,0,2
4,30,3,0,2
4,30,4,0,2
5,2,1,5,2
5,2,2,9,2
5,2,3,12,2
5,2,4,5,2
5,5,1,2,2
5,5,2,2,2
5,5,3,6,2
5,5,4,3,2
5,10,1,0,2
5,10,2,0,2
5,10,3,0,2
5,10,4,0,2
5,20,1,0,2
5,20,2,0,2
5,20,3,0,2
5,20,4,0,2
5,30,1,0,2
5,30,2,0,2
5,30,3,0,2
5,30,4,0,2
6,2,1,5,2
6,2,2,9,2
6,2,3,12,2
6,2,4,5,2
6,5,1,2,2
6,5,2,2,2
6,5,3,6,2
6,5,4,3,2
6,10,1,0,2
6,10,2,0,2
6,10,3,0,2
6,10,4,0,2
6,20,1,0,2
6,20,2,0,2
6,20,3,0,2
6,20,4,0,2
6,30,1,0,2
6,30,2,0,2
6,30,3,0,2
6,30,4,0,2
