"","Semana","Profundidad","Repetición","Plantas emergidas","Experimento"
"1",0,2,1,0,1
"2",0,2,2,0,1
"3",0,2,3,0,1
"4",0,2,4,0,1
"5",0,5,1,0,1
"6",0,5,2,0,1
"7",0,5,3,0,1
"8",0,5,4,0,1
"9",0,10,1,0,1
"10",0,10,2,0,1
"11",0,10,3,0,1
"12",0,10,4,0,1
"13",0,20,1,0,1
"14",0,20,2,0,1
"15",0,20,3,0,1
"16",0,20,4,0,1
"17",0,30,1,0,1
"18",0,30,2,0,1
"19",0,30,3,0,1
"20",0,30,4,0,1
"21",1,2,1,0,1
"22",1,2,2,0,1
"23",1,2,3,0,1
"24",1,2,4,0,1
"25",1,5,1,0,1
"26",1,5,2,0,1
"27",1,5,3,0,1
"28",1,5,4,0,1
"29",1,10,1,0,1
"30",1,10,2,0,1
"31",1,10,3,0,1
"32",1,10,4,0,1
"33",1,20,1,0,1
"34",1,20,2,0,1
"35",1,20,3,0,1
"36",1,20,4,0,1
"37",1,30,1,0,1
"38",1,30,2,0,1
"39",1,30,3,0,1
"40",1,30,4,0,1
"41",2,2,1,8,1
"42",2,2,2,6,1
"43",2,2,3,5,1
"44",2,2,4,4,1
"45",2,5,1,1,1
"46",2,5,2,1,1
"47",2,5,3,4,1
"48",2,5,4,1,1
"49",2,10,1,0,1
"50",2,10,2,0,1
"51",2,10,3,0,1
"52",2,10,4,0,1
"53",2,20,1,0,1
"54",2,20,2,0,1
"55",2,20,3,0,1
"56",2,20,4,0,1
"57",2,30,1,0,1
"58",2,30,2,0,1
"59",2,30,3,0,1
"60",2,30,4,0,1
"61",3,2,1,12,1
"62",3,2,2,7,1
"63",3,2,3,5,1
"64",3,2,4,4,1
"65",3,5,1,1,1
"66",3,5,2,1,1
"67",3,5,3,5,1
"68",3,5,4,1,1
"69",3,10,1,0,1
"70",3,10,2,0,1
"71",3,10,3,0,1
"72",3,10,4,0,1
"73",3,20,1,0,1
"74",3,20,2,0,1
"75",3,20,3,0,1
"76",3,20,4,0,1
"77",3,30,1,0,1
"78",3,30,2,0,1
"79",3,30,3,0,1
"80",3,30,4,0,1
"81",4,2,1,12,1
"82",4,2,2,10,1
"83",4,2,3,7,1
"84",4,2,4,5,1
"85",4,5,1,1,1
"86",4,5,2,3,1
"87",4,5,3,5,1
"88",4,5,4,1,1
"89",4,10,1,0,1
"90",4,10,2,0,1
"91",4,10,3,0,1
"92",4,10,4,3,1
"93",4,20,1,0,1
"94",4,20,2,0,1
"95",4,20,3,0,1
"96",4,20,4,0,1
"97",4,30,1,0,1
"98",4,30,2,0,1
"99",4,30,3,0,1
"100",4,30,4,0,1
"101",5,2,1,14,1
"102",5,2,2,10,1
"103",5,2,3,6,1
"104",5,2,4,5,1
"105",5,5,1,1,1
"106",5,5,2,3,1
"107",5,5,3,5,1
"108",5,5,4,1,1
"109",5,10,1,0,1
"110",5,10,2,0,1
"111",5,10,3,0,1
"112",5,10,4,3,1
"113",5,20,1,0,1
"114",5,20,2,0,1
"115",5,20,3,0,1
"116",5,20,4,0,1
"117",5,30,1,0,1
"118",5,30,2,0,1
"119",5,30,3,0,1
"120",5,30,4,0,1
"121",6,2,1,14,1
"122",6,2,2,12,1
"123",6,2,3,8,1
"124",6,2,4,5,1
"125",6,5,1,1,1
"126",6,5,2,3,1
"127",6,5,3,5,1
"128",6,5,4,1,1
"129",6,10,1,0,1
"130",6,10,2,0,1
"131",6,10,3,0,1
"132",6,10,4,3,1
"133",6,20,1,0,1
"134",6,20,2,0,1
"135",6,20,3,0,1
"136",6,20,4,0,1
"137",6,30,1,0,1
"138",6,30,2,0,1
"139",6,30,3,0,1
"140",6,30,4,0,1
