"","Rhizotron","Profundidad","Número de planta","Longitud foliar (cm)","Longitud radical (cm)"
"1",1,"2",1,2.5,36
"2",1,"2",2,2,36
"3",1,"2",3,2,36
"4",1,"2",4,2.5,37
"5",1,"2",5,2.5,33
"6",1,"2",6,0,0
"7",1,"2",7,0,0
"8",1,"2",8,0,0
"9",1,"2",9,0,0
"10",1,"2",10,0,0
"11",1,"2",11,0,0
"12",1,"2",12,0,0
"13",1,"2",13,0,0
"14",1,"2",14,0,0
"15",1,"2",15,0,0
"16",1,"5",1,2,30
"17",1,"5",2,2,39
"18",1,"5",3,0,0
"19",1,"5",4,0,0
"20",1,"5",5,0,0
"21",1,"5",6,0,0
"22",1,"5",7,0,0
"23",1,"5",8,0,0
"24",1,"5",9,0,0
"25",1,"5",10,0,0
"26",1,"5",11,0,0
"27",1,"5",12,0,0
"28",1,"5",13,0,0
"29",1,"5",14,0,0
"30",1,"5",15,0,0
"31",1,"10",1,0,0
"32",1,"10",2,0,0
"33",1,"10",3,0,0
"34",1,"10",4,0,0
"35",1,"10",5,0,0
"36",1,"10",6,0,0
"37",1,"10",7,0,0
"38",1,"10",8,0,0
"39",1,"10",9,0,0
"40",1,"10",10,0,0
"41",1,"10",11,0,0
"42",1,"10",12,0,0
"43",1,"10",13,0,0
"44",1,"10",14,0,0
"45",1,"10",15,0,0
"46",1,"20",1,0,0
"47",1,"20",2,0,0
"48",1,"20",3,0,0
"49",1,"20",4,0,0
"50",1,"20",5,0,0
"51",1,"20",6,0,0
"52",1,"20",7,0,0
"53",1,"20",8,0,0
"54",1,"20",9,0,0
"55",1,"20",10,0,0
"56",1,"20",11,0,0
"57",1,"20",12,0,0
"58",1,"20",13,0,0
"59",1,"20",14,0,0
"60",1,"20",15,0,0
"61",1,"30",1,0,0
"62",1,"30",2,0,0
"63",1,"30",3,0,0
"64",1,"30",4,0,0
"65",1,"30",5,0,0
"66",1,"30",6,0,0
"67",1,"30",7,0,0
"68",1,"30",8,0,0
"69",1,"30",9,0,0
"70",1,"30",10,0,0
"71",1,"30",11,0,0
"72",1,"30",12,0,0
"73",1,"30",13,0,0
"74",1,"30",14,0,0
"75",1,"30",15,0,0
"76",2,"2",1,3,30
"77",2,"2",2,3,40
"78",2,"2",3,2.5,35
"79",2,"2",4,3,42
"80",2,"2",5,3,32
"81",2,"2",6,3,39
"82",2,"2",7,2,40
"83",2,"2",8,2.5,42
"84",2,"2",9,3.5,28
"85",2,"2",10,0,0
"86",2,"2",11,0,0
"87",2,"2",12,0,0
"88",2,"2",13,0,0
"89",2,"2",14,0,0
"90",2,"2",15,0,0
"91",2,"5",1,3,30
"92",2,"5",2,2.5,33
"93",2,"5",3,0,0
"94",2,"5",4,0,0
"95",2,"5",5,0,0
"96",2,"5",6,0,0
"97",2,"5",7,0,0
"98",2,"5",8,0,0
"99",2,"5",9,0,0
"100",2,"5",10,0,0
"101",2,"5",11,0,0
"102",2,"5",12,0,0
"103",2,"5",13,0,0
"104",2,"5",14,0,0
"105",2,"5",15,0,0
"106",2,"10",1,0,0
"107",2,"10",2,0,0
"108",2,"10",3,0,0
"109",2,"10",4,0,0
"110",2,"10",5,0,0
"111",2,"10",6,0,0
"112",2,"10",7,0,0
"113",2,"10",8,0,0
"114",2,"10",9,0,0
"115",2,"10",10,0,0
"116",2,"10",11,0,0
"117",2,"10",12,0,0
"118",2,"10",13,0,0
"119",2,"10",14,0,0
"120",2,"10",15,0,0
"121",2,"20",1,0,0
"122",2,"20",2,0,0
"123",2,"20",3,0,0
"124",2,"20",4,0,0
"125",2,"20",5,0,0
"126",2,"20",6,0,0
"127",2,"20",7,0,0
"128",2,"20",8,0,0
"129",2,"20",9,0,0
"130",2,"20",10,0,0
"131",2,"20",11,0,0
"132",2,"20",12,0,0
"133",2,"20",13,0,0
"134",2,"20",14,0,0
"135",2,"20",15,0,0
"136",2,"30",1,0,0
"137",2,"30",2,0,0
"138",2,"30",3,0,0
"139",2,"30",4,0,0
"140",2,"30",5,0,0
"141",2,"30",6,0,0
"142",2,"30",7,0,0
"143",2,"30",8,0,0
"144",2,"30",9,0,0
"145",2,"30",10,0,0
"146",2,"30",11,0,0
"147",2,"30",12,0,0
"148",2,"30",13,0,0
"149",2,"30",14,0,0
"150",2,"30",15,0,0
"151",3,"2",1,3,44
"152",3,"2",2,3.5,41
"153",3,"2",3,2,39
"154",3,"2",4,2,40
"155",3,"2",5,3,43
"156",3,"2",6,3,50
"157",3,"2",7,3,40
"158",3,"2",8,2.5,44
"159",3,"2",9,3,43
"160",3,"2",10,3,41
"161",3,"2",11,2.5,43
"162",3,"2",12,2.5,38
"163",3,"2",13,0,0
"164",3,"2",14,0,0
"165",3,"2",15,0,0
"166",3,"5",1,2.6,41
"167",3,"5",2,3,39
"168",3,"5",3,3.1,38
"169",3,"5",4,3.5,37
"170",3,"5",5,2.5,34
"171",3,"5",6,2.4,36
"172",3,"5",7,0,0
"173",3,"5",8,0,0
"174",3,"5",9,0,0
"175",3,"5",10,0,0
"176",3,"5",11,0,0
"177",3,"5",12,0,0
"178",3,"5",13,0,0
"179",3,"5",14,0,0
"180",3,"5",15,0,0
"181",3,"10",1,0,0
"182",3,"10",2,0,0
"183",3,"10",3,0,0
"184",3,"10",4,0,0
"185",3,"10",5,0,0
"186",3,"10",6,0,0
"187",3,"10",7,0,0
"188",3,"10",8,0,0
"189",3,"10",9,0,0
"190",3,"10",10,0,0
"191",3,"10",11,0,0
"192",3,"10",12,0,0
"193",3,"10",13,0,0
"194",3,"10",14,0,0
"195",3,"10",15,0,0
"196",3,"20",1,0,0
"197",3,"20",2,0,0
"198",3,"20",3,0,0
"199",3,"20",4,0,0
"200",3,"20",5,0,0
"201",3,"20",6,0,0
"202",3,"20",7,0,0
"203",3,"20",8,0,0
"204",3,"20",9,0,0
"205",3,"20",10,0,0
"206",3,"20",11,0,0
"207",3,"20",12,0,0
"208",3,"20",13,0,0
"209",3,"20",14,0,0
"210",3,"20",15,0,0
"211",3,"30",1,0,0
"212",3,"30",2,0,0
"213",3,"30",3,0,0
"214",3,"30",4,0,0
"215",3,"30",5,0,0
"216",3,"30",6,0,0
"217",3,"30",7,0,0
"218",3,"30",8,0,0
"219",3,"30",9,0,0
"220",3,"30",10,0,0
"221",3,"30",11,0,0
"222",3,"30",12,0,0
"223",3,"30",13,0,0
"224",3,"30",14,0,0
"225",3,"30",15,0,0
"226",4,"2",1,3,35
"227",4,"2",2,2.5,43
"228",4,"2",3,3,44
"229",4,"2",4,2.7,39
"230",4,"2",5,3,39
"231",4,"2",6,0,0
"232",4,"2",7,0,0
"233",4,"2",8,0,0
"234",4,"2",9,0,0
"235",4,"2",10,0,0
"236",4,"2",11,0,0
"237",4,"2",12,0,0
"238",4,"2",13,0,0
"239",4,"2",14,0,0
"240",4,"2",15,0,0
"241",4,"5",1,3,37
"242",4,"5",2,3,34
"243",4,"5",3,3,28
"244",4,"5",4,0,0
"245",4,"5",5,0,0
"246",4,"5",6,0,0
"247",4,"5",7,0,0
"248",4,"5",8,0,0
"249",4,"5",9,0,0
"250",4,"5",10,0,0
"251",4,"5",11,0,0
"252",4,"5",12,0,0
"253",4,"5",13,0,0
"254",4,"5",14,0,0
"255",4,"5",15,0,0
"256",3,"10",1,0,0
"257",3,"10",2,0,0
"258",3,"10",3,0,0
"259",3,"10",4,0,0
"260",3,"10",5,0,0
"261",3,"10",6,0,0
"262",3,"10",7,0,0
"263",3,"10",8,0,0
"264",3,"10",9,0,0
"265",3,"10",10,0,0
"266",3,"10",11,0,0
"267",3,"10",12,0,0
"268",3,"10",13,0,0
"269",3,"10",14,0,0
"270",3,"10",15,0,0
