Experimento,Semana,N?mero de rhizotron,Tratamiento (cm),Semillas emergidas
1,0,1,2,0
1,0,1,5,0
1,0,1,10,0
1,0,1,20,0
1,0,1,30,0
1,0,2,2,0
1,0,2,5,0
1,0,2,10,0
1,0,2,20,0
1,0,2,30,0
1,0,3,2,0
1,0,3,5,0
1,0,3,10,0
1,0,3,20,0
1,0,3,30,0
1,0,4,2,0
1,0,4,5,0
1,0,4,10,0
1,0,4,20,0
1,0,4,30,0
1,1,1,2,12
1,1,1,5,1
1,1,1,10,0
1,1,1,20,0
1,1,1,30,0
1,1,2,2,7
1,1,2,5,1
1,1,2,10,0
1,1,2,20,0
1,1,2,30,0
1,1,3,2,5
1,1,3,5,5
1,1,3,10,0
1,1,3,20,0
1,1,3,30,0
1,1,4,2,4
1,1,4,5,1
1,1,4,10,0
1,1,4,20,0
1,1,4,30,0
1,2,1,2,12
1,2,1,5,1
1,2,1,10,0
1,2,1,20,0
1,2,1,30,0
1,2,2,2,10
1,2,2,5,3
1,2,2,10,0
1,2,2,20,0
1,2,2,30,0
1,2,3,2,7
1,2,3,5,5
1,2,3,10,0
1,2,3,20,0
1,2,3,30,0
1,2,4,2,5
1,2,4,5,1
1,2,4,10,3
1,2,4,20,0
1,2,4,30,0
1,3,1,2,14
1,3,1,5,1
1,3,1,10,0
1,3,1,20,0
1,3,1,30,0
1,3,2,2,10
1,3,2,5,3
1,3,2,10,0
1,3,2,20,0
1,3,2,30,0
1,3,3,2,6
1,3,3,5,5
1,3,3,10,0
1,3,3,20,0
1,3,3,30,0
1,3,4,2,5
1,3,4,5,1
1,3,4,10,3
1,3,4,20,0
1,3,4,30,0
1,4,1,2,14
1,4,1,5,1
1,4,1,10,0
1,4,1,20,0
1,4,1,30,0
1,4,2,2,12
1,4,2,5,3
1,4,2,10,0
1,4,2,20,0
1,4,2,30,0
1,4,3,2,8
1,4,3,5,5
1,4,3,10,0
1,4,3,20,0
1,4,3,30,0
1,4,4,2,5
1,4,4,5,1
1,4,4,10,3
1,4,4,20,0
1,4,4,30,0
